,Player,Pos,3P,2P,TRB,AST,STL,BLK
0,Precious Achiuwa,PF,0.0,2.0,3.4,0.5,0.3,0.5
1,Steven Adams,C,0.0,3.3,8.9,1.9,0.9,0.7
2,Bam Adebayo,C,0.0,7.1,9.0,5.4,1.2,1.0
3,LaMarcus Aldridge,C,1.2,4.2,4.5,1.9,0.4,1.1
4,Jarrett Allen,C,0.1,4.6,10.0,1.7,0.5,1.4
5,Al-Farouq Aminu,PF,0.3,1.3,4.8,1.3,0.8,0.4
6,Kyle Anderson,PF,1.4,3.1,5.7,3.6,1.2,0.8
7,Giannis Antetokounmpo,PF,1.1,9.2,11.0,5.9,1.2,1.2
8,Kostas Antetokounmpo,PF,0.0,0.2,1.3,0.1,0.1,0.3
9,Carmelo Anthony,PF,1.9,2.8,3.1,1.5,0.7,0.6
10,Deandre Ayton,C,0.1,6.2,10.5,1.4,0.6,1.2
11,Udoka Azubuike,C,0.0,0.3,0.9,0.0,0.1,0.3
12,Marvin Bagley III,PF,0.9,4.9,7.4,1.0,0.5,0.5
13,Mo Bamba,C,0.8,2.3,5.8,0.8,0.3,1.3
14,Harrison Barnes,PF,1.7,3.8,6.6,3.5,0.7,0.2
15,Aron Baynes,C,0.5,2.0,5.2,0.9,0.3,0.4
16,Darius Bazley,PF,1.5,3.5,7.2,1.8,0.5,0.5
17,Jordan Bell,C,0.0,1.2,4.0,1.2,0.5,0.8
18,Dāvis Bertāns,PF,3.0,0.4,2.9,0.9,0.6,0.2
19,Khem Birch,C,0.2,2.6,5.8,1.3,0.7,0.7
20,Goga Bitadze,C,0.4,1.4,3.3,0.8,0.2,1.3
21,Bismack Biyombo,C,0.0,2.2,5.3,1.2,0.3,1.1
22,Nemanja Bjelica,PF,0.7,1.7,3.4,1.9,0.4,0.1
23,Bol Bol,PF,0.3,0.5,0.8,0.2,0.1,0.3
24,Marques Bolden,C,0.0,0.2,1.0,0.0,0.3,0.3
25,Chris Boucher,C,1.5,3.3,6.7,1.1,0.6,1.9
26,Tony Bradley,C,0.0,3.1,5.7,0.9,0.4,0.7
27,Jarrell Brantley,PF,0.4,0.5,1.0,0.5,0.3,0.1
28,Miles Bridges,PF,1.8,3.0,6.0,2.2,0.7,0.8
29,Amida Brimah,C,0.0,1.0,1.6,0.2,0.0,1.0
30,Moses Brown,C,0.0,3.4,8.9,0.2,0.7,1.1
31,Thomas Bryant,C,0.9,5.0,6.1,1.5,0.4,0.8
32,Bruno Caboclo,PF,0.0,1.3,2.3,0.2,0.0,0.3
33,Devontae Cacok,PF,0.0,0.9,1.6,0.1,0.3,0.2
34,Vlatko Čančar,PF,0.2,0.6,1.2,0.3,0.3,0.0
35,Clint Capela,C,0.0,6.6,14.3,0.8,0.7,2.0
36,Vernon Carey Jr.,C,0.1,0.9,1.4,0.1,0.1,0.3
37,Wendell Carter Jr.,C,0.3,4.0,8.2,1.9,0.6,0.8
38,Willie Cauley-Stein,C,0.0,2.2,4.5,0.7,0.4,0.8
39,Marquese Chriss,PF,0.5,2.0,6.5,1.0,0.0,1.0
40,Gary Clark,PF-SF,0.8,0.2,2.9,0.8,0.3,0.2
41,Brandon Clarke,PF,0.3,4.0,5.6,1.6,1.0,0.9
